正确结果为和psql核对过
无答案表明psql所得结果也是无答案,(结果可能正确)
结果错误表明和psql所得结果不一致
未完成表明未完成的代码

Correct answer: o
Null answer: ?

Error answer: x
unfinish answer: u

xo代表结果少了一倍


q1, o
q2, ?
q3, x
q4, xo
q5, x
q6, x
q7, xo
q8, x
q9, xo
q10, x
q11, ?
q12, xo
q13, x
q14, u
q15, u
q16, o
q17, ?
q18, ?
q19, o
q20, ?
q21, ?
q22, u
